등록번호,사무소명,중개업자명,사무소전화번호,사무소주소,행정동
26260-2016-00003,e행복한공인중개사사무소,김영후,,부산광역시 동래구 서동중심로 9 2층 (명장동),명장제2동
26260-2016-00007,복있는부동산중개사무소,안영미,051-502-0009,부산광역시 동래구 사직로70번길 36 (사직동),사직제2동
26260-2016-00008,명륜자이부동산공인중개사사무소,최하영,051-554-5555,"부산광역시 동래구 명륜로139번길 22 110동 102호 (명륜동, 명륜자이)",명륜동
26260-2016-00009,으뜸공인중개사사무소,김성균,051-526-8626,부산광역시 동래구 충렬대로271번길 30-3 (칠산동),복산동
26260-2016-00016,희망공인중개사사무소,한광우,,부산광역시 동래구 명륜로75번길 31 나동 점포4호(수안동),수민동
26260-2016-00019,명품자이부동산공인중개사사무소,박귀훈,051-555-8949,부산광역시 동래구 명륜로 155 (명륜동),명륜동
26260-2016-00022,더베스트삼정공인중개사사무소,배도일,051-503-2779,"부산광역시 동래구 사직로 8 상가202동 102호 (사직동, 사직역삼정그린코아더베스트1차)",사직제1동
26260-2016-00023,복부동산공인중개사사무소,이진만,051-558-5533,부산광역시 동래구 온천장로 21 명륜역 대원칸타빌 103호(온천동),온천제1동
26260-2016-00024,탑공인중개사사무소,구춘근,051-555-0040,부산광역시 동래구 문화로 3 1층(명륜동),명륜동
26260-2016-00039,우리공인중개사사무소,변영숙,,부산광역시 동래구 명장로20번길 83 (명장동),명장제1동
26260-2016-00043,가람부동산공인중개사사무소,이제웅,051-503-4900,"부산광역시 동래구 충렬대로140번길 56 3동 상가 101호(온천동, 동영아파트)",온천제2동
26260-2016-00059,봄봄부동산중개사무소,박희선,051-555-5530,"부산광역시 동래구 시실로 49 상가127동 B104호(명륜동,명륜2차아이파크)",명륜동
26260-2016-00062,우리부동산공인중개사사무소,김말숙,,"부산광역시 동래구 온천천로339번길 28 107동 상가111호(낙민동, 낙민동한일유앤아이아파트 )",수민동
26260-2016-00064,부동산101공인중개사사무소,민금란,051-507-2252,부산광역시 동래구 사직북로63번길 7 (사직동),사직제2동
26260-2016-00065,호언공인중개사사무소,정호언,051-558-2626,부산광역시 동래구 충렬대로 260 2층 (낙민동),수민동
26260-2016-00074,리체부동산공인중개사사무소,이미주,051-554-2200,부산광역시 동래구 명륜로 188 (명륜동),명륜동
26260-2016-00082,창조공인중개사사무소,신정의,051-507-1534,부산광역시 동래구 명안로26번길 140-2 (안락동),안락제2동
26260-2016-00084,부경공인중개사사무소,이명성,051-581-6350,부산광역시 동래구 미남로116번길 67-1 (온천동),온천제3동
26260-2016-00088,롯데귀족부동산중개사무소,정성호,051-502-8999,"부산광역시 동래구 아시아드대로146번길 1 상가동 107호 (사직동, 사직롯데캐슬더클래식)",사직제3동
26260-2016-00092,금나라부동산공인중개사사무소,강경진,051-558-5566,부산광역시 동래구 온천장로125번길 73 (온천동),온천제1동
26260-2016-00095,SK공인중개사사무소,김순희,051-582-0051,"부산광역시 동래구 중앙대로 1523 ,A1-45호(온천동,SK허브스카이)",온천제1동
26260-2016-00113,청담부동산공인중개사사무소,김현숙,051-507-6333,부산광역시 동래구 금강로 166-1 1층(온천동),온천제1동
26260-2016-00115,행복공인중개사사무소,박영의,051-559-5858,"부산광역시 동래구 중앙대로 1523 B-11호(온천동, 에스케이허브스카이)",온천제1동
26260-2016-00120,복드림부동산공인중개사사무소,손연희,051-502-8000,"부산광역시 동래구 충렬대로107번길 65 318동 102호(온천동, 동래래미안아이파크)",온천제2동
26260-2016-00125,동일공인중개사사무소,홍용태,051-553-9700,부산광역시 동래구 충렬대로 268 (낙민동),수민동
26260-2016-00128,부영부동산중개사무소,김병윤,051-556-5200,부산광역시 동래구 온천장로 110 (온천동),온천제1동
26260-2016-00134,으뜸공인중개사사무소,길태은,051-504-4900,부산광역시 동래구 석사북로 100 (온천동),온천제3동
26260-2016-00135,감동부동산공인중개사사무소,강정화,051-558-2500,"부산광역시 동래구 시실로 49 상가127동 B102호(명륜동, 명륜2차아이파크아파트)",명륜동
26260-2016-00136,칠산부동산공인중개사사무소,양재관,051-558-0885,부산광역시 동래구 명륜로112번길 84 (수안동),수민동
26260-2016-00139,행복한부동산공인중개사사무소,이영희,051-507-0050,부산광역시 동래구 여고로113번길 78 (사직동),사직제3동
26260-2016-00152,금바치공인중개사사무소,차철호,051-977-8572,부산광역시 동래구 여고북로 125 (온천동),온천제3동
26260-2016-00164,제일공인중개사사무소,임영순,051-555-1155,"부산광역시 동래구 복천로5번길 34 상가동 102호 (복천동, 우성베스토피아)",복산동
26260-2016-00166,온누리공인중개사사무소,서계연,051-518-7992,부산광역시 동래구 금강로 119 (온천동),온천제1동
26260-2016-00174,해피부동산공인중개사사무소,이은진,051-554-4545,"부산광역시 동래구 명륜로139번길 22 110동 106호 (명륜동, 명륜자이)",명륜동
26260-2016-00176,행운부동산공인중개사사무소,조치훈,,부산광역시 동래구 여고북로 134 (사직동),사직제3동
26260-2024-00117,온천장래미안공인중개사사무소,남하나,051-515-0013,"부산광역시 동래구 금강로131번길 42 2단지 A동 8호(온천동, 래미안포레스티지)",온천제1동
가-06-4343,한솔부동산중개사무소,김호열,051-502-8893,부산광역시 동래구 아시아드대로220번길 50 (온천동),온천제3동
가-06-2081,갑부공인중개사사무소,박영국,051-556-7270,부산광역시 동래구 낙민로 11 101호(낙민동),수민동
가-06-2324,호성공인중개사사무소,김형암,051-523-3525,부산광역시 동래구 연안로51번길 77 (안락동),안락제2동
가-06-2585,태양공인중개사사무소,최복선,051-503-0120,"부산광역시 동래구 사직로 80 상가223동 B103호(사직동,사직쌍용예가)",사직제2동
가-06-2917,화신공인중개사사무소,이영자,051-556-7806,"부산광역시 동래구 쇠미로235번길 9 4동 103호(온천동,온천화신아파트)",온천제2동
가-06-2924,부경부동산중개사무소,서덕교,051-558-5233,"부산광역시 동래구 명륜로129번길 20 207호(명륜동,우성빌딩)",명륜동
가-06-2931,쌍용예가공인중개사사무소,김승연,051-501-4585,"부산광역시 동래구 사직로 80 상가223동 B107호 (사직동, 사직쌍용예가)",사직제2동
26260-2024-00111,두꺼비부동산공인중개사사무소,이경희,051-554-2892,부산광역시 동래구 명륜로112번길 86 1층(수안동),수민동
26260-2024-00112,더함부동산중개사무소,김종우,,부산광역시 동래구 온천장로119번길 58-19 1층(온천동),온천제1동
26260-2024-00113,모닝공인중개사사무소,조수진,051-555-5300,"부산광역시 동래구 시실로 49 상가동127동 비114호(명륜동, 명륜2차아이파크)",명륜동
26260-2024-00114,3.1공인중개사사무소,윤혜림,,"부산광역시 동래구 충렬대로107번길 54 상가 1호, 1-1호(온천동, 동래럭키아파트)",온천제2동
26260-2024-00115,효원부동산공인중개사사무소,조말순,051-553-1986,부산광역시 동래구 금강로 119 1층(온천동),온천제1동
26260-2024-00116,나우부동산공인중개사사무소,성해진,051-506-9991,"부산광역시 동래구 종합운동장로40번길 8 103동 108호(사직동, 부산아시아드코오롱하늘채)",사직제1동
가-14-374,으뜸공인중개사사무소,주양숙,051-524-0108,부산광역시 동래구 충렬대로459번길 38 (안락동),안락제2동
26260-2016-00198,사직열린공인중개사사무소,이지우,051-501-7780,부산광역시 동래구 사직북로63번길 31 (사직동),사직제2동
26260-2016-00202,개미공인중개사사무소,이영숙,051-507-1660,부산광역시 동래구 석사로18번길 3 1층(사직동),사직제1동
26260-2016-00204,채움공인중개사사무소,박신영,051-554-2049,부산광역시 동래구 명륜로217번길 4-4 (명륜동),명륜동
26260-2016-00217,강변부동산공인중개사사무소,전영도,051-521-8848,"부산광역시 동래구 안남로 79 주상가동 101호 (안락동, 강변뜨란채)",안락제1동
26260-2017-00001,알파공인중개사사무소,도기순,051-506-0040,부산광역시 동래구 아시아드대로 145 (사직동),사직제1동
26260-2017-00006,대원칸타빌공인중개사사무소,문다솔,051-558-4100,"부산광역시 동래구 온천장로 21 1층(온천동, 명륜역대원칸타빌)",온천제1동
26260-2017-00007,현대공인중개사사무소,정옥희,051-529-1400,부산광역시 동래구 반송로239번길 18 (안락동),안락제1동
26260-2017-00012,리체공인중개사사무소,최진성,051-554-2200,부산광역시 동래구 명륜로 188 (명륜동),명륜동
26260-2017-00016,뉴세종공인중개사사무소,최창남,051-557-0113,부산광역시 동래구 충렬대로 239 104호 (수안동),수민동
26260-2017-00017,사직SK부동산공인중개사사무소,강옥화,051-507-4988,부산광역시 동래구 사직북로 43 (사직동),사직제2동
26260-2017-00029,사직KCC공인중개사사무소,도갑임,051-504-1140,"부산광역시 동래구 사직북로 64 상가1단지동 1호 (사직동, 사직KCC스위첸)",사직제2동
26260-2017-00030,만복공인중개사사무소,이철호,051-525-5008,"부산광역시 동래구 삼어로 9 109동(상가동) 104호 (안락동, 현대아파트)",안락제2동
26260-2017-00033,양지공인중개사사무소,홍기수,051-556-2888,부산광역시 동래구 온천천로 77 (명륜동),명륜동
26260-2017-00035,부자되는공인중개사사무소,조여진,,부산광역시 동래구 금강공원로 37 1층 5호(온천동),온천제1동
26260-2017-00036,금나라부동산공인중개사사무소(합동),주미순,051-558-5566,부산광역시 동래구 온천장로125번길 73 (온천동),온천제1동
26260-2017-00041,래미안화성부동산공인중개사사무소,이정숙,051-555-0083,부산광역시 동래구 우장춘로4번길 38 1층(온천동),온천제2동
26260-2017-00051,청담부동산공인중개사사무소,정세원,051-553-9600,"부산광역시 동래구 충렬대로107번길 65 315동 109호(온천동, 동래래미안아이파크)",온천제2동
26260-2017-00056,래미안1번지부동산중개사무소,김수동,,부산광역시 동래구 금강로10번길 21 (온천동),온천제2동
26260-2017-00063,자이안트공인중개사사무소,윤태석,051-853-0006,부산광역시 동래구 아시아드대로 145 2층 (사직동),사직제1동
26260-2017-00065,국민부동산공인중개사사무소,이애상,051-506-8986,부산광역시 동래구 미남로 76 (온천동),온천제3동
26260-2017-00067,친절부동산공인중개사사무소,김현수,051-557-0043,"부산광역시 동래구 명륜로 170 202동 102호 (명륜동,명륜아이파크상가)",명륜동
26260-2017-00077,미래공인중개사사무소,차경아,,"부산광역시 동래구 동래로 117 상가 204동 104호 (복천동, 명륜아이파크 2단지)",복산동
26260-2017-00081,삼성래미안공인중개사사무소,김지영,051-555-0072,부산광역시 동래구 중앙대로1335번길 91 1층(온천동),온천제2동
26260-2017-00084,명가부동산중개사무소,위승호,051-554-7776,부산광역시 동래구 동래로 1 (온천동),온천제3동
26260-2017-00086,경동리인공인중개사사무소,이은겸,051-521-5775,"부산광역시 동래구 충렬대로446번길 67 근린생활시설동 103호 (안락동, 안락경동리인아파트)",안락제2동
26260-2017-00099,Rich공인중개사사무소,김대성,051-611-5610,부산광역시 동래구 명안로45번길 67-2 (안락동),안락제1동
26260-2017-00101,태림공인중개사사무소,문건아,,부산광역시 동래구 온천장로125번길 59 (온천동),온천제1동
26260-2017-00113,탑플러스공인중개사사무소,최지현,,부산광역시 동래구 문화로 3 (명륜동),명륜동
26260-2017-00119,부산공인중개사사무소,권창호,051-504-4545,부산광역시 동래구 미남로 77 (온천동),온천제3동
26260-2017-00127,예스부동산공인중개사사무소,김영숙,051-557-8004,"부산광역시 동래구 온천장로65번길 9 123호(온천동, 동래3차SKVIEW단지내상가)",온천제1동
26260-2017-00130,명륜부자공인중개사사무소,김명희,051-557-0049,"부산광역시 동래구 시실로 49 127동 비106호(명륜동,명륜2차아이파크)",명륜동
26260-2017-00132,쌍용공인중개사사무소,김도영,051-554-3000,부산광역시 동래구 명륜로187번길 42 (명륜동),명륜동
26260-2017-00142,황금알공인중개사사무소,임지선,051-522-0522,부산광역시 동래구 안락로125번가길 4-4 (안락동),안락제2동
26260-2017-00154,이편한지온부동산공인중개사사무소,배수진,,"부산광역시 동래구 아시아드대로 202 201동 10호(온천동, e편한세상동래아시아드)",온천제3동
26260-2017-00158,성지공인중개사사무소,이강록,051-529-7799,부산광역시 동래구 안락로 90-1 (안락동),안락제2동
26260-2017-00171,정직부동산공인중개사사무소,김미희,051-515-5567,부산광역시 동래구 중앙대로1267번길 85 (사직동),사직제3동
26260-2017-00170,유지에셋공인중개사사무소,박정빈,,부산광역시 동래구 온천천로 141 (명륜동),명륜동
26260-2017-00173,사직에이스부동산공인중개사사무소,문지연,051-505-1225,부산광역시 동래구 아시아드대로 145 (사직동),사직제1동
26260-2017-00179,동래아복드림부동산공인중개사사무소,고창숙,051-502-8000,"부산광역시 동래구 충렬대로107번길 65 318동 102호(온천동, 동래래미안아이파크)",온천제2동
26260-2017-00180,롯데1번지부동산공인중개사사무소,김희건,051-504-0012,부산광역시 동래구 아시아드대로146번길 4 (사직동),사직제3동
26260-2018-00003,오렌지복덕방공인중개사사무소,윤진목,051-523-7966,부산광역시 동래구 반송로 221 (안락동),안락제1동
26260-2018-00016,황금자이공인중개사사무소(합동),이정민,051-525-0025,부산광역시 동래구 명륜로112번길 74 (수안동),수민동
26260-2018-00019,수안롯데캐슬공인중개사사무소,성윤자,051-710-8484,부산광역시 동래구 온천천로337번길 64 (수안동),수민동
26260-2018-00020,강남공인중개사사무소,배정임,051-525-8900,부산광역시 동래구 시실로 119 301동 B108호(명장동),명장제2동
26260-2018-00025,삼성공인중개사사무소,안영란,051-501-9663,부산광역시 동래구 사직북로19번길 21-4 (사직동),사직제2동
26260-2018-00038,해광부동산공인중개사사무소,김종은,051-558-1133,부산광역시 동래구 명륜로 111 4층(명륜동),명륜동
26260-2018-00043,세원부동산중개사무소,김동욱,,부산광역시 동래구 시실로 36-2 1층(명륜동),명륜동
26260-2018-00046,다옴공인중개사사무소,이순금,051-522-6302,부산광역시 동래구 명안로9번길 4 (안락동),안락제1동
26260-2018-00047,수정부동산중개사무소,차순옥,051-552-0038,"부산광역시 동래구 시실로 49 상가동(127동) 비108호(명륜동, 명륜2차아이파트)",명륜동
26260-2018-00055,동래더샵부동산중개사무소,김연정,051-715-3004,부산광역시 동래구 온천장로 33 (온천동),온천제1동
26260-2018-00056,더샵동래부동산중개사무소,박지영,051-715-3034,부산광역시 동래구 온천장로 33 1층(온천동),온천제1동
26260-2018-00062,조은부동산공인중개사사무소,최미정,051-506-8548,부산광역시 동래구 여고로127번길 75 (사직동),사직제3동
26260-2018-00064,동래삼정공인중개사사무소,이정희,051-507-9507,부산광역시 동래구 쇠미로 152-1 1층(온천동),온천제3동
26260-2018-00066,SK허브공인중개사사무소,신영우,051-558-3838,"부산광역시 동래구 중앙대로 1523 A1-19호(온천동, SK HUB SKY)",온천제1동
26260-2018-00067,행복나무부동산중개,인태오,051-525-5494,부산광역시 동래구 명장로106번길 57 (명장동),명장제1동
26260-2018-00092,강변하나부동산공인중개사사무소,조수경,051-528-0008,"부산광역시 동래구 안남로 79 분산상가동 101호(안락동, 강변뜨란채)",안락제1동
26260-2018-00094,온천장부동산중개사무소(합동),이주홍,051-554-0555,"부산광역시 동래구 금강로131번길 42 2단지 A동 8호(온천동, 래미안포레스티지)",온천제1동
26260-2018-00099,세원공인중개사사무소,김성욱,,부산광역시 동래구 시실로 36-2 1층(명륜동),명륜동
26260-2018-00100,한진공인중개사사무소,홍창표,051-554-1003,"부산광역시 동래구 충렬대로200번길 25 109호(수안동, 한진타운상가)",수민동
26260-2018-00109,행운부동산공인중개사사무소,정재화,051-524-7750,부산광역시 동래구 반송로 216 (안락동),안락제1동
26260-2018-00114,온천비젼부동산공인중개사사무소,최옥순,051-556-6100,"부산광역시 동래구 충렬대로107번길 65 315동 106호(온천동, 동래래미안아이파크)",온천제2동
26260-2018-00115,동래OK공인중개사사무소,배준호,051-552-6636,부산광역시 동래구 금강로 88 (온천동),온천제1동
26260-2018-00121,토금공인중개사사무소,이미화,051-554-8930,부산광역시 동래구 온천장로119번길 51 1층(온천동),온천제1동
26260-2018-00132,사직제일공인중개사사무소,엄승운,051-503-3677,부산광역시 동래구 사직북로13번길 43 (사직동),사직제2동
26260-2018-00136,집사부동산공인중개사사무소,윤성규,051-503-0101,부산광역시 동래구 미남로116번길 88 (온천동),온천제3동
26260-2018-00141,우정부동산공인중개사사무소,김수홍,051-522-5700,"부산광역시 동래구 충렬사로 81 , 상가 101호 (명장동, 국제파크아파트)",명장제2동
26260-2019-00001,스마트공인중개사사무소,이종화,051-556-7989,부산광역시 동래구 명륜로112번길 32 2층 (수안동),수민동
26260-2019-00002,훼미리공인중개사사무소,김경희,051-528-8982,"부산광역시 동래구 연안로 71 상가동 107호(안락동, 안락뜨란채1단지)",안락제2동
26260-2019-00003,희망공인중개사사무소,이종인,051-554-2488,부산광역시 동래구 금강로 84-1 (온천동),온천제1동
26260-2019-00008,사직금빛부동산공인중개사사무소,고미정,051-501-8944,부산광역시 동래구 사직북로19번길 31 (사직동),사직제2동
26260-2019-00010,가인공인중개사사무소,옥동근,051-555-8488,부산광역시 동래구 온천장로 123 3층 (온천동),온천제1동
26260-2019-00014,뉴고우공인중개사사무소,김명주,051-927-0053,부산광역시 동래구 금강로62번길 12 3층(온천동),온천제1동
26260-2019-00015,금샘부동산공인중개사사무소,김도형,,부산광역시 동래구 미남로116번길 61 (온천동),온천제3동
26260-2019-00016,이음공인중개사사무소,송윤숙,051-525-0045,부산광역시 동래구 명장로 50 1층(명장동),명장제1동
26260-2019-00018,롯데클래식부동산중개사무소,김보경,051-505-8844,"부산광역시 동래구 아시아드대로146번길 1 201동 102호 (사직동, 사직롯데캐슬더클래식)",사직제3동
26260-2019-00020,썬공인중개사사무소,백혜영,051-526-8989,부산광역시 동래구 안남로 98 (안락동),안락제2동
26260-2019-00023,114단지내공인중개사사무소,이상준,,"부산광역시 동래구 충렬대로107번길 65 315동 104호(온천동, 동래래미안아이파크상가)",온천제2동
26260-2019-00024,예지공인중개사사무소,송지호,051-505-3999,부산광역시 동래구 아시아드대로 140 2층 (사직동),사직제3동
26260-2019-00030,올바른공인중개사사무소,손여진,051-554-9993,부산광역시 동래구 명륜로112번길 118 (칠산동),복산동
26260-2019-00032,우리자이공인중개사사무소,조윤영,051-553-1500,부산광역시 동래구 동래로 76 (명륜동),명륜동
26260-2019-00043,래미안공인중개사사무소,황종연,051-504-2000,부산광역시 동래구 충렬대로107번길 96 (온천동),온천제2동
26260-2019-00050,다온부동산중개사무소,박기덕,,부산광역시 동래구 명륜로112번길 118 (칠산동),복산동
26260-2019-00053,위드공인중개사사무소,서정한,,부산광역시 동래구 미남로 68 5층 (사직동),사직제3동
26260-2019-00054,열매부동산공인중개사사무소,이수민,051-555-3755,부산광역시 동래구 차밭골로20번길 31-1 (온천동),온천제1동
26260-2019-00064,이편한공인중개사사무소,김정례,051-503-8912,"부산광역시 동래구 아시아드대로208번길 9 102호 (온천동, 강남럭스빌)",온천제3동
26260-2019-00067,사직우리부동산공인중개사사무소,정은미,,"부산광역시 동래구 아시아드대로146번길 1 201동 108호(사직동, 사직롯데캐슬더클래식)",사직제3동
26260-2019-00073,우리공인중개사사무소,최대수,051-526-8907,"부산광역시 동래구 충렬대로428번길 49 105동 105호 (안락동, 동부산아이존빌아파트)",안락제2동
26260-2019-00077,명륜트라디움공인중개사사무소,심미정,,"부산광역시 동래구 명륜로 222 209동 A-305호(명륜동, 명륜동 힐스테이트)",명륜동
26260-2019-00080,하하팔팔공인중개사사무소,이상훈,051-867-9311,부산광역시 동래구 동래로 150 (복천동),복산동
26260-2019-00081,금성부동산중개,안범우,,부산광역시 동래구 중앙대로1367번길 18 3층 (온천동),온천제2동
26260-2019-00083,더봄공인중개사사무소,우희정,051-552-2001,부산광역시 동래구 온천천로339번길 27 (낙민동),수민동
26260-2019-00088,나무공인중개사사무소,김현성,051-502-4980,부산광역시 동래구 아시아드대로164번가길 18-1 2층 (사직동),사직제3동
26260-2019-00094,한반도부동산중개사무소,오영규,051-581-8202,부산광역시 동래구 금강로 166-1 3층 (온천동),온천제1동
26260-2019-00095,선부동산공인중개사사무소,한분애,051-916-5010,부산광역시 동래구 명안로85번길 29 (명장동),명장제1동
26260-2019-00096,희망부동산공인중개사사무소,김선연,051-529-9333,"부산광역시 동래구 명장로20번길 84 제102호(명장동, 삼성타운 상가3동)",명장제1동
26260-2019-00106,예스부동산중개사무소,박춘모,051-522-0049,"부산광역시 동래구 명장로 65 상가1동 109호 (명장동, e편한세상동래명장)",명장제1동
26260-2019-00109,삼보부동산공인중개사사무소,임재은,,부산광역시 동래구 명륜로129번나길 1 2층(명륜동),명륜동
26260-2019-00113,복덩이부동산공인중개사사무소,김경화,051-553-9181,부산광역시 동래구 금강로 161 1층(온천동),온천제1동
26260-2019-00114,온천삼정베스트공인중개사사무소,김세비,051-555-7007,"부산광역시 동래구 중앙대로1493번길 16 301동 101호 (온천동, 삼정그린코아더베스트)",온천제1동
26260-2019-00119,스위첸부동산공인중개사사무소,조경호,,부산광역시 동래구 연안로59번길 106 1층(안락동),안락제2동
26260-2019-00124,THE믿음공인중개사사무소,정홍주,051-502-0063,부산광역시 동래구 석사로18번길 16 2층(사직동),사직제1동
26260-2019-00133,동래래미안단지내공인중개사사무소,김현희,,"부산광역시 동래구 충렬대로107번길 65 315동 104호(온천동, 동래래미안아이파크)",온천제2동
26260-2019-00137,복사랑부동산공인중개사사무소,이현호,051-343-0450,부산광역시 동래구 금강로 101 (온천동),온천제1동
26260-2019-00145,부자부동산공인중개사사무소,이순호,051-507-8949,부산광역시 동래구 명륜로112번길 84 (수안동),수민동
26260-2019-00149,명륜힐스부동산중개사무소,유민철,051-917-2683,"부산광역시 동래구 명륜로 222 209동 A-105호 (명륜동, 힐스테이트)",명륜동
26260-2019-00150,온천탑공인중개사사무소,김영미,051-555-7006,"부산광역시 동래구 충렬대로107번길 65 315동 107호(온천동, 동래래미안아이파크상가)",온천제2동
26260-2019-00151,동래자이부동산중개사무소,최동수,051-552-4985,부산광역시 동래구 충렬대로271번길 33 (수안동),수민동
26260-2019-00152,우리한신공인중개사사무소,이영란,051-505-1777,"부산광역시 동래구 쇠미로81번길 33 상가동 104호(사직동, 한신아파트)",사직제2동
26260-2019-00153,사직아시아드쌍용공인중개사사무소,안성찬,,부산광역시 동래구 여고로25번길 25 (사직동),사직제3동
26260-2019-00154,금당공인중개사사무소,송호섭,,부산광역시 동래구 충렬대로 388-1 (안락동),안락제1동
26260-2019-00155,옥토공인중개사사무소,유윤주,,"부산광역시 동래구 온천천로337번길 47 104호(수안동, 금광타워빌)",수민동
26260-2019-00162,꿈있는공인중개사사무소,양진철,,부산광역시 동래구 충렬대로272번길 28 5층 (낙민동),수민동
26260-2019-00163,태경부동산공인중개사사무소,최계림,051-558-8949,부산광역시 동래구 중앙대로1367번길 78-3 (온천동),온천제2동
26260-2020-00004,드림공인중개사사무소,조점이,051-557-8945,"부산광역시 동래구 명륜로75번길 31 라동 10, 11호(수안동, 새동래아파트)",수민동
26260-2020-00005,행운공인중개사사무소,설인주,051-501-9339,부산광역시 동래구 사직로70번길 38 (사직동),사직제2동
26260-2020-00008,행복공인중개사사무소,임창욱,051-506-3339,"부산광역시 동래구 사직로 80 222동 B202호 (사직동, 사직쌍용예가)",사직제2동
26260-2020-00010,KCC스마트부동산공인중개사사무소,김미정,,"부산광역시 동래구 사직북로 64 상가2단지동 6호 (사직동, 사직KCC스위첸)",사직제2동
26260-2020-00013,국민공인중개사사무소,성미화,051-528-9810,부산광역시 동래구 안락로 43 (안락동),안락제1동
26260-2020-00014,유경부동산공인중개사사무소,이정원,051-521-7800,부산광역시 동래구 명안로 89 (명장동),명장제1동
26260-2020-00015,마루공인중개사사무소,오연아,051-552-8979,"부산광역시 동래구 중앙대로1473번길 13 103동 108호(온천동, 벽산아스타)",온천제1동
26260-2020-00020,미남부동산공인중개사사무소,정대구,051-501-3080,부산광역시 동래구 석사북로 100 (온천동),온천제3동
26260-2020-00024,영진부동산공인중개사사무소,안도영,051-558-0678,부산광역시 동래구 충렬대로376번길 5 101호(안락동),수민동
26260-2020-00025,국민부동산공인중개사사무소,허석영,051-504-9988,부산광역시 동래구 석사로18번길 3 (사직동),사직제1동
26260-2020-00027,래미안황금부동산공인중개사사무소,김정희,051-554-8985,부산광역시 동래구 금강로 132-1 (온천동),온천제1동
26260-2020-00029,노른자공인중개사사무소,백진숙,,부산광역시 동래구 아시아드대로184번길 41 101호 (사직동),사직제3동
26260-2020-00032,뜨란채공인중개사사무소,명수영,051-531-0003,"부산광역시 동래구 연안로 74 주상가동 107호(안락동, 안락뜨란채2단지)",안락제2동
